DeviceTag: Xsens XII,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2026-07-17 10:50:31.701,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
721646,0.8777,0.1207,-0.3435,0.3117,-0.3283,-0.0150,0.1457,0
721813,0.8775,0.1207,-0.3436,0.3121,-0.3310,0.0149,0.1576,0
721980,0.8773,0.1208,-0.3437,0.3125,-0.3212,0.0098,0.1252,0
722146,0.8771,0.1209,-0.3439,0.3129,-0.3308,-0.0129,0.1482,0
722313,0.8769,0.1209,-0.3440,0.3132,-0.3447,0.0080,0.1580,0
722480,0.8767,0.1210,-0.3441,0.3136,-0.3344,-0.0052,0.1437,0
722646,0.8765,0.1211,-0.3442,0.3140,-0.3345,0.0063,0.1280,0
722813,0.8763,0.1212,-0.3443,0.3144,-0.3222,0.0090,0.1220,0
722980,0.8761,0.1212,-0.3445,0.3147,-0.3479,-0.0010,0.1227,0
723146,0.8759,0.1213,-0.3446,0.3151,-0.3453,-0.0048,0.1469,0
723313,0.8757,0.1214,-0.3447,0.3155,-0.3448,0.0134,0.1279,0
723480,0.8756,0.1214,-0.3448,0.3158,-0.3489,-0.0139,0.1290,0
723646,0.8754,0.1215,-0.3449,0.3162,-0.3690,-0.0167,0.1142,0
723813,0.8752,0.1216,-0.3450,0.3166,-0.3719,0.0115,0.1275,0
723980,0.8750,0.1216,-0.3451,0.3170,-0.3864,-0.0136,0.1537,0
724146,0.8748,0.1217,-0.3452,0.3173,-0.3794,-0.0032,0.1245,0
724313,0.8746,0.1218,-0.3454,0.3177,-0.3731,0.0008,0.1399,0
724480,0.8744,0.1219,-0.3455,0.3181,-0.3789,0.0088,0.1476,0
724646,0.8742,0.1219,-0.3456,0.3185,-0.3962,-0.0029,0.1491,0
724813,0.8741,0.1220,-0.3457,0.3188,-0.3907,0.0037,0.1306,0
724980,0.8739,0.1221,-0.3458,0.3192,-0.3849,-0.0025,0.1500,0
725146,0.8737,0.1222,-0.3459,0.3196,-0.3984,-0.0027,0.1484,0
725313,0.8735,0.1223,-0.3460,0.3199,-0.3935,-0.0113,0.1405,0
725480,0.8733,0.1223,-0.3460,0.3203,-0.3942,-0.0106,0.1360,0
725646,0.8731,0.1224,-0.3461,0.3207,-0.3861,0.0069,0.1325,0
725813,0.8729,0.1225,-0.3462,0.3211,-0.4121,-0.0139,0.1065,0
725980,0.8728,0.1226,-0.3463,0.3214,-0.4194,0.0065,0.1249,0
726146,0.8726,0.1227,-0.3464,0.3218,-0.4025,-0.0081,0.1403,0
726313,0.8724,0.1228,-0.3465,0.3221,-0.4170,-0.0031,0.1149,0
726480,0.8722,0.1228,-0.3466,0.3225,-0.4276,0.0045,0.1403,0
726646,0.8721,0.1229,-0.3467,0.3229,-0.4355,-0.0134,0.1626,0
726813,0.8719,0.1230,-0.3467,0.3232,-0.4107,-0.0101,0.1248,0
726980,0.8717,0.1231,-0.3468,0.3236,-0.4143,0.0089,0.1109,0
727146,0.8715,0.1232,-0.3469,0.3239,-0.4521,-0.0062,0.1496,0
727313,0.8714,0.1233,-0.3469,0.3243,-0.4231,0.0146,0.1232,0
727480,0.8712,0.1234,-0.3470,0.3247,-0.4328,-0.0091,0.1402,0
727646,0.8710,0.1234,-0.3471,0.3250,-0.4348,-0.0195,0.1622,0
