system_time_iso,epoch_time,rel_time_s,upper_w,upper_x,upper_y,upper_z,flexion_deg,pronation_deg,flexion_vel_deg_s,pronation_vel_deg_s
2026-08-05T10:27:40.914823,1785918460.914824,0.096658,0.1805601269006729,0.858939528465271,0.4156946837902069,-0.23836791515350342,164.501269,-150.566592,0.000000,0.000000
2026-08-05T10:27:41.474510,1785918461.474511,0.699536,0.16864076256752014,0.8641910552978516,0.41950252652168274,-0.2207978516817093,165.483220,-152.350713,-59.571551,88.249949
2026-08-05T10:27:41.776251,1785918461.776251,1.267581,0.13831834495067596,0.8724091649055481,0.4153707027435303,-0.21734170615673065,163.350494,-148.380625,-131.001968,256.328811
2026-08-05T10:27:42.140375,1785918462.140376,1.557720,0.13734006881713867,0.8714011311531067,0.41738495230674744,-0.21814553439617157,164.377643,-150.378117,13.137557,-21.713221
2026-08-05T10:27:42.399970,1785918462.399970,1.923078,0.1468767523765564,0.9003486037254333,0.35186144709587097,-0.2097456306219101,166.250049,-153.112781,123.401379,-195.176804
2026-08-05T10:27:42.807108,1785918462.807109,2.287148,0.08215733617544174,0.816521167755127,-0.10523480921983719,-0.5616666674613953,172.012122,-157.278827,-55.254779,165.524168
2026-08-05T10:27:43.094862,1785918463.094862,2.598476,0.1635487824678421,0.6123824119567871,-0.04838874191045761,-0.771944522857666,156.384141,64.573508,270.502174,11324.040127
2026-08-05T10:27:43.395421,1785918463.395422,2.890469,0.15189099311828613,0.8256410360336304,0.003591998014599085,-0.5433538556098938,173.542225,168.818196,557.833133,2594.731429
2026-08-05T10:27:43.665654,1785918463.665654,3.176924,0.14295218884944916,0.8630684018135071,-0.0013393998378887773,-0.48443377017974854,171.780879,165.182878,13.180064,28.549820
2026-08-05T10:27:44.007163,1785918464.007164,3.447354,0.14055697619915009,0.874713659286499,-0.017212038859725,-0.4634907841682434,173.782606,152.736533,34.632877,-318.626596
2026-08-05T10:27:44.354818,1785918464.354819,3.788776,0.13823582231998444,0.7731655836105347,-0.06020073965191841,-0.6160211563110352,152.889290,-132.965483,-7.262354,-26.380529
2026-08-05T10:27:44.624854,1785918464.624854,4.162496,0.067125104367733,0.9944375157356262,-0.07241835445165634,0.036662232130765915,167.474404,-167.037631,-324.250536,328.938741
2026-08-05T10:27:44.958497,1785918464.958497,4.414436,0.06164991110563278,0.9942569136619568,-0.08573861420154572,0.017368918284773827,167.338156,-166.899949,52.714858,-51.615452
2026-08-05T10:27:45.296841,1785918465.296841,4.766535,0.11001046001911163,0.9413605332374573,-0.042381636798381805,-0.31613627076148987,165.485938,97.069960,-275.487308,-1582.077905
2026-08-05T10:27:45.665958,1785918465.665958,5.084871,0.07448725402355194,0.9725287556648254,-0.05703617259860039,-0.21304146945476532,162.968114,-132.259452,248.518696,-12642.038245
2026-08-05T10:27:45.962711,1785918465.962711,5.451756,-0.0020325109362602234,0.9901858568191528,-0.07577718049287796,0.11741193383932114,162.014434,-161.315053,-756.360087,-1324.244702
2026-08-05T10:27:46.201281,1785918466.201282,5.752878,0.005737003870308399,0.9950566291809082,-0.08042854815721512,0.05797342583537102,164.369057,-163.467933,54.924030,-48.341383
2026-08-05T10:27:46.505654,1785918466.505655,5.988249,0.09981097280979156,0.6915054321289062,-0.030011964961886406,-0.7148129940032959,178.995180,169.039860,97.782877,11174.259338
2026-08-05T10:27:46.862380,1785918466.862380,6.287557,0.04915161430835724,0.986824631690979,-0.09908327460289001,-0.1180848479270935,156.376087,-125.031547,-178.594755,638.252900
2026-08-05T10:27:47.203628,1785918467.203628,6.653757,0.04824978858232498,0.9884978532791138,-0.07542043924331665,-0.12188513576984406,161.025121,-156.390690,-91.183454,55.252933
2026-08-05T10:27:47.549988,1785918467.549989,6.985118,0.05256851390004158,0.9513260126113892,-0.06192250922322273,-0.29728999733924866,163.877584,-152.319475,196.333946,33.411692
2026-08-05T10:27:47.826479,1785918467.826480,7.355092,-0.006647464819252491,0.9933235049247742,-0.10714944452047348,-0.042232006788253784,153.618926,-147.954166,-32.111289,0.130171
2026-08-05T10:27:48.087212,1785918468.087212,7.620897,0.09739650040864944,0.6517535448074341,-0.07506141066551208,-0.7483965158462524,178.008750,173.772840,954.750973,20175.590102
2026-08-05T10:27:48.338639,1785918468.338639,7.873552,0.09307204186916351,0.7021914124488831,-0.10225848108530045,-0.6984328627586365,176.380573,154.909651,44.601961,-194.226524
2026-08-05T10:27:48.582561,1785918468.582562,8.129264,-0.008729686960577965,0.9895100593566895,-0.1380859613418579,0.0415462963283062,155.559945,-151.332180,-43.738019,4.162291
2026-08-05T10:27:48.857852,1785918468.857853,8.387787,-0.015593335032463074,0.9699417948722839,-0.15227128565311432,0.18916578590869904,151.271908,-149.208508,-2.226892,5.808245
2026-08-05T10:27:49.137860,1785918469.137861,8.638837,0.014835100620985031,0.6842759847640991,-0.1061883196234703,-0.7212979197502136,176.059732,169.007705,28.558737,272.923841
2026-08-05T10:27:49.389028,1785918469.389029,8.925511,-0.006861549336463213,0.9741577506065369,-0.1791328489780426,-0.13740982115268707,155.071462,-42.756198,-65.959447,-2427.684163
2026-08-05T10:27:49.648078,1785918469.648079,9.180567,-0.00514287780970335,0.9656491279602051,-0.20351244509220123,0.1614878922700882,154.410960,-151.863746,270.916552,-395.678225
2026-08-05T10:27:49.888824,1785918469.888824,9.433088,-0.012298384681344032,0.9674867391586304,-0.20058469474315643,-0.15357300639152527,159.690879,-150.883958,93.055259,27.258311
2026-08-05T10:27:50.228305,1785918470.228305,9.686753,-0.013176923617720604,0.9399551153182983,-0.1636199802160263,-0.2992313504219055,148.337959,-13.702671,-136.394746,-1668.735361
2026-08-05T10:27:50.504812,1785918470.504813,10.019405,-0.011300170794129372,0.9717919826507568,-0.21003198623657227,0.10667583346366882,146.908428,-129.896432,-75.411847,-159.228562
2026-08-05T10:27:50.771807,1785918470.771808,10.287882,-0.01872257888317108,0.9714513421058655,-0.2102842926979065,-0.10822591930627823,149.686920,-91.034402,-230.521426,1238.748460
2026-08-05T10:27:51.032239,1785918471.032240,10.561968,-0.023171810433268547,0.9493486881256104,-0.18353667855262756,-0.2539975345134735,146.703623,54.462981,14.228297,516.191837
2026-08-05T10:27:51.272561,1785918471.272561,10.819226,-0.02875695936381817,0.9739224910736084,-0.21515636146068573,0.0660020112991333,144.027564,-19.626726,-721.171486,6092.525921
2026-08-05T10:27:51.532134,1785918471.532134,11.069569,-0.024818578734993935,0.734415590763092,-0.12809735536575317,-0.6660400629043579,169.926535,-50.341373,1144.378411,-1538.361495
2026-08-05T10:27:51.831078,1785918471.831079,11.338158,-0.01740904152393341,0.9816772937774658,-0.18325622379779816,0.049237560480833054,134.679846,-58.022311,-1167.897850,1010.371912
2026-08-05T10:27:52.115594,1785918472.115594,11.613609,-0.016993286088109016,0.9844302535057068,-0.16233934462070465,-0.06522870063781738,135.026778,-44.055208,75.813588,4.212215
2026-08-05T10:27:52.364630,1785918472.364631,11.902690,-0.1168680191040039,0.7721249461174011,-0.16041211783885956,-0.6036831736564636,150.954422,79.893124,-104.111103,9250.689825
2026-08-05T10:27:52.634708,1785918472.634708,12.159598,-0.12682172656059265,0.7923166155815125,-0.20716112852096558,-0.5596745014190674,156.786710,100.024593,45.630426,123.145036
2026-08-05T10:27:52.908225,1785918472.908225,12.429030,-0.14700691401958466,0.7649383544921875,-0.19749999046325684,-0.5951910614967346,159.276308,115.943353,-42.476414,-95.333567
2026-08-05T10:27:53.216065,1785918473.216065,12.699675,-0.17958533763885498,0.7639764547348022,-0.22194525599479675,-0.5786449909210205,160.273242,119.249777,10.533067,181.679993
2026-08-05T10:27:53.488800,1785918473.488800,12.997418,-0.23498645424842834,0.7468419671058655,-0.2247275859117508,-0.5800918340682983,157.959787,118.418522,9.486819,-114.274567
2026-08-05T10:27:53.797266,1785918473.797266,13.288417,-0.25886866450309753,0.6715205907821655,-0.1771991103887558,-0.6713032722473145,158.217891,134.057146,-3.235713,44.024362
2026-08-05T10:27:54.137179,1785918474.137179,13.579753,-0.13526061177253723,0.690115213394165,-0.06317626684904099,-0.7081347107887268,156.311800,128.774901,-56.453648,-186.025541
2026-08-05T10:27:54.453998,1785918474.453999,13.922344,-0.047591518610715866,0.6132151484489441,-0.09303541481494904,-0.7829732298851013,162.354591,137.773410,431.064299,1136.709130
2026-08-05T10:27:54.963431,1785918474.963431,14.249595,-0.048198651522397995,0.5972725749015808,-0.10583225637674332,-0.7935631275177002,163.950287,142.534438,79.715631,232.842934
