system_time_iso,epoch_time,rel_time_s,upper_w,upper_x,upper_y,upper_z,forearm_w,forearm_x,forearm_y,forearm_z,flexion_deg,pronation_deg,flexion_vel_deg_s,pronation_vel_deg_s
2026-08-05T15:57:29.409957,1785938249.409958,0.163532,0.1550607532262802,0.6487723588943481,0.3125653564929962,-0.6762789487838745,0.600597620010376,0.35433313250541687,0.5531824231147766,-0.45576274394989014,72.945590,-70.314341,0.000000,0.000000
2026-08-05T15:57:29.419155,1785938249.419155,0.172729,0.1548839807510376,0.6486603617668152,0.31172019243240356,-0.6768171787261963,0.6008414626121521,0.3538905382156372,0.5529601573944092,-0.4560551047325134,73.039827,-70.410331,10.246333,-10.436929
2026-08-05T15:57:29.434836,1785938249.434837,0.186798,0.15509745478630066,0.6483080387115479,0.31086212396621704,-0.6775001287460327,0.6010128855705261,0.35361823439598083,0.5523867011070251,-0.45673471689224243,73.045050,-70.415522,0.371222,-0.368922
2026-08-05T15:57:29.454494,1785938249.454495,0.208069,0.15518903732299805,0.6479699015617371,0.3097820281982422,-0.6782968640327454,0.6012799739837646,0.35349830985069275,0.5517992377281189,-0.45718610286712646,73.085357,-70.463013,1.894908,-2.232634
2026-08-05T15:57:29.468413,1785938249.468414,0.221988,0.15395022928714752,0.6480891704559326,0.303094744682312,-0.6814788579940796,0.6028861999511719,0.35282087326049805,0.5505609512329102,-0.4570870101451874,73.770160,-71.240922,49.199554,-55.888774
2026-08-05T15:57:29.484344,1785938249.484344,0.237918,0.15375027060508728,0.6479470133781433,0.30262261629104614,-0.6818690896034241,0.6032572388648987,0.3526363968849182,0.550399124622345,-0.45693469047546387,73.859406,-71.331337,5.602194,-5.675590
2026-08-05T15:57:29.503632,1785938249.503633,0.257207,0.15336117148399353,0.6478830575942993,0.30198216438293457,-0.6823011636734009,0.6035898327827454,0.35250774025917053,0.5502411723136902,-0.45678478479385376,73.972725,-71.447586,5.874936,-6.026825
2026-08-05T15:57:29.517664,1785938249.519727,0.271238,0.15289367735385895,0.6478266716003418,0.30134496092796326,-0.6827409863471985,0.6038129329681396,0.3525412976741791,0.5500695109367371,-0.45667099952697754,74.072720,-71.551417,7.126619,-7.400044
2026-08-05T15:57:29.532982,1785938249.532982,0.285536,0.15258492529392242,0.6478425860404968,0.3008161783218384,-0.6830282211303711,0.6040601134300232,0.3525233864784241,0.5499415397644043,-0.45651209354400635,74.160481,-71.643422,6.138040,-6.434818
2026-08-05T15:57:29.542621,1785938249.542622,0.296196,0.15233683586120605,0.647871732711792,0.3002719283103943,-0.6832956075668335,0.6042815446853638,0.35250332951545715,0.5498513579368591,-0.45634278655052185,74.243849,-71.733424,7.820802,-8.443166
2026-08-05T15:57:29.553411,1785938249.553411,0.306985,0.1520441621541977,0.6478919982910156,0.2997576892375946,-0.6835670471191406,0.6045060753822327,0.35251137614250183,0.5497357845306396,-0.4561784863471985,74.326611,-71.821122,7.670504,-8.127980
2026-08-05T15:57:29.568336,1785938249.568337,0.321911,0.15171393752098083,0.6479045152664185,0.29924729466438293,-0.6838521361351013,0.6046901345252991,0.3525773882865906,0.5496097803115845,-0.4560352861881256,74.404477,-71.903832,5.216947,-5.541472
