DeviceTag: Xsens XIII,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Quaternion),StartTime: 2026-07-17 11:13:52.707,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
14441663,0.4012,0.7179,-0.1941,0.5348,-0.0164,-0.2501,0.1319,0
14441830,0.4028,0.7167,-0.1955,0.5346,0.2155,-0.2434,-0.0536,0
14441996,0.4044,0.7154,-0.1969,0.5347,0.3616,-0.1369,-0.1456,0
14442163,0.4052,0.7146,-0.1976,0.5349,0.4330,0.0626,-0.2568,0
14442330,0.4051,0.7145,-0.1977,0.5350,0.3360,0.0779,-0.2476,0
14442496,0.4045,0.7148,-0.1977,0.5351,0.2107,-0.2163,-0.0345,0
14442663,0.4040,0.7149,-0.1978,0.5352,0.0474,-0.3631,0.0513,0
14442830,0.4038,0.7147,-0.1980,0.5356,-0.0488,-0.3999,0.0409,0
14442996,0.4038,0.7143,-0.1982,0.5361,-0.2265,-0.3242,-0.0889,0
14443163,0.4040,0.7140,-0.1986,0.5363,-0.3386,-0.3820,-0.0827,0
14443330,0.4041,0.7137,-0.1990,0.5363,-0.1542,-0.2438,-0.0602,0
14443496,0.4038,0.7137,-0.1994,0.5365,0.0273,-0.0952,0.0590,0
14443663,0.4032,0.7138,-0.1996,0.5367,-0.2065,-0.3241,0.3529,0
14443830,0.4033,0.7133,-0.2001,0.5371,-0.4456,-0.8387,0.6693,0
14443996,0.4045,0.7121,-0.2011,0.5375,-0.3460,-0.5429,0.3003,0
14444163,0.4058,0.7109,-0.2022,0.5377,-0.0196,-0.1321,-0.1361,0
14444330,0.4067,0.7098,-0.2030,0.5381,0.2466,-0.1266,-0.2052,0
14444496,0.4072,0.7089,-0.2037,0.5387,0.2271,-0.2193,-0.1255,0
14444663,0.4075,0.7080,-0.2042,0.5394,0.1066,-0.2579,-0.1259,0
14444830,0.4077,0.7071,-0.2048,0.5402,0.1006,-0.1913,-0.2822,0
14444996,0.4078,0.7062,-0.2056,0.5411,0.1813,-0.2052,-0.4322,0
14445163,0.4078,0.7052,-0.2065,0.5420,0.2445,-0.2195,-0.4290,0
14445330,0.4074,0.7043,-0.2073,0.5431,0.2030,-0.1044,-0.2758,0
14445496,0.4067,0.7036,-0.2079,0.5443,0.0034,-0.2540,-0.1561,0
14445663,0.4061,0.7029,-0.2085,0.5455,-0.0483,-0.3858,-0.0885,0
14445830,0.4054,0.7021,-0.2091,0.5467,-0.0168,-0.2541,-0.0023,0
14445997,0.4049,0.7014,-0.2097,0.5479,-0.0978,-0.2349,0.0783,0
14446163,0.4045,0.7006,-0.2105,0.5489,-0.2246,-0.2449,0.0718,0
14446330,0.4039,0.7001,-0.2111,0.5497,-0.0905,-0.1881,0.1108,0
14446497,0.4030,0.6999,-0.2114,0.5505,-0.0355,-0.2312,0.0760,0
14446663,0.4020,0.6999,-0.2116,0.5511,-0.2372,-0.4283,0.1866,0
14446830,0.4015,0.6996,-0.2121,0.5517,-0.4195,-0.6479,0.1808,0
