DeviceTag: Xsens_IX,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2026-07-17 10:50:31.863,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
671011,0.8546,0.1643,-0.3388,0.3577,-0.0244,-0.3319,0.0748,0
671178,0.8545,0.1646,-0.3388,0.3578,-0.0269,-0.3428,0.0906,0
671344,0.8544,0.1648,-0.3389,0.3579,-0.0396,-0.3570,0.0965,0
671511,0.8542,0.1651,-0.3390,0.3579,-0.0228,-0.3522,0.0800,0
671678,0.8541,0.1653,-0.3390,0.3580,-0.0293,-0.3631,0.0743,0
671844,0.8540,0.1656,-0.3391,0.3581,-0.0196,-0.3629,0.0748,0
672011,0.8539,0.1658,-0.3392,0.3582,-0.0251,-0.3735,0.0774,0
672178,0.8538,0.1661,-0.3392,0.3583,-0.0210,-0.3666,0.0818,0
672344,0.8537,0.1663,-0.3393,0.3584,-0.0226,-0.3767,0.0819,0
672511,0.8536,0.1665,-0.3393,0.3585,-0.0432,-0.3833,0.0801,0
672678,0.8535,0.1668,-0.3394,0.3586,-0.0349,-0.3825,0.0906,0
672844,0.8534,0.1670,-0.3394,0.3587,-0.0413,-0.3971,0.1030,0
673011,0.8533,0.1672,-0.3395,0.3588,-0.0185,-0.3995,0.0870,0
673178,0.8532,0.1675,-0.3395,0.3588,-0.0175,-0.4091,0.0906,0
673344,0.8531,0.1677,-0.3396,0.3589,-0.0473,-0.3934,0.0733,0
673511,0.8530,0.1679,-0.3396,0.3590,-0.0334,-0.4099,0.0886,0
673678,0.8529,0.1681,-0.3397,0.3591,-0.0268,-0.3968,0.0862,0
673844,0.8528,0.1684,-0.3398,0.3592,-0.0085,-0.4047,0.0689,0
674011,0.8527,0.1686,-0.3398,0.3593,-0.0218,-0.4240,0.0776,0
674178,0.8526,0.1688,-0.3399,0.3594,-0.0211,-0.4242,0.0869,0
674344,0.8525,0.1690,-0.3399,0.3594,-0.0218,-0.4156,0.0661,0
674511,0.8524,0.1692,-0.3400,0.3595,-0.0353,-0.4224,0.0961,0
674678,0.8523,0.1694,-0.3400,0.3596,-0.0143,-0.4229,0.0710,0
674844,0.8522,0.1696,-0.3401,0.3597,-0.0189,-0.4353,0.0747,0
675011,0.8521,0.1698,-0.3401,0.3597,-0.0490,-0.4397,0.0981,0
675178,0.8520,0.1700,-0.3402,0.3598,-0.0302,-0.4460,0.0847,0
