Timestamp (s),Joint_Angle (deg)
0.0,68.14540731050424
0.0045,68.14540731050424
0.009,68.14540731050424
0.0135,68.14540731050424
0.018,68.14540731050424
0.0225,68.14540731050424
0.027,68.14540731050424
0.0315,68.14540731050424
0.036,68.14540731050424
0.0405,68.14540731050424
0.045,68.14540731050424
0.0495,68.14540731050424
0.054,68.14540731050424
0.0585,68.14540731050424
0.063,68.14540731050424
0.0675,68.14540731050424
0.072,68.14540731050424
0.0765,68.14540731050424
0.081,68.14540731050424
0.0855,68.14540731050424
0.09,68.14540731050424
0.0945,68.14540731050424
0.099,68.14540731050424
0.1035,68.14540731050424
0.108,64.41064754199036
0.1125,64.41064754199036
0.117,64.47385348731635
0.1215,64.0532014854585
0.126,64.0532014854585
0.1305,63.71528348917564
0.135,63.71528348917564
0.1395,63.3770396601312
0.144,63.3770396601312
0.1485,63.01998613314869
0.153,63.01998613314869
0.1575,62.648596845899846
0.162,62.648596845899846
0.1665,62.27042751753963
0.171,62.27042751753963
0.1755,61.89206981348833
0.18,61.89206981348833
0.1845,61.91683354383985
0.189,61.53120572775608
0.1935,61.53120572775608
0.198,61.17742051055028
0.2025,61.17742051055028
0.207,60.828639910567034
0.2115,60.828639910567034
0.216,60.49733247389602
0.2205,60.49733247389602
0.225,60.16808880530196
0.2295,60.16808880530196
0.234,59.8389365946599
0.2385,59.8389365946599
0.243,59.892083496465084
0.2475,59.49663211220635
0.252,59.54574788232252
0.2565,59.1487025561606
0.261,59.19835697408229
0.2655,58.795226912552344
0.27,58.795226912552344
0.2745,58.460545210868375
0.279,58.460545210868375
0.2835,58.119671684026464
0.288,58.119671684026464
0.2925,57.77365581079827
0.297,57.77365581079827
0.3015,57.42791487754436
0.306,57.42791487754436
0.3105,57.468458240881304
0.315,57.0815189831954
0.3195,57.128459774363016
0.324,56.74359423260936
0.3285,56.80283495140839
0.333,56.42277154691699
0.3375,56.42277154691699
0.342,56.09384558564479
0.3465,56.09384558564479
0.351,55.76837554321172
